"Title","OriginalTitle","Type","SR_HR_Audio","AudioCategory","BCS_Audio_Languages","SR_HR_Subtitles","Genres","WatchURL"
"Ben 10: Ben Gen 10","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/bec82c9f-3b65-4a80-9ca9-31006b011735"
"Bugs Bunny Builders","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/06c52914-458f-44b6-8436-c790a9ad6761"
"Bugs Bunny Builders: Hard Hat Time","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/33779090-7e3c-4fbc-a2c5-4fd8a6e3d8ba"
"Care Bears: Unlock the Magic Specials","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/bf0982d6-b5e0-4ad8-b719-de4e52c5b316"
"CN Stories","","series","yes","dub","Croatian","no","kids-family, european","https://play.hbomax.com/show/51af093e-e0bb-4f08-9ca3-5b0900ab6b1e"
"Craig Before the Creek","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/c5045e2d-12ff-4874-96bf-3d8a6edb304b"
"Craig of the Creek","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/c706d141-342d-4fe5-8d60-638e42a908fa"
"Dr. Seuss' The Grinch","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family, comedy","https://play.hbomax.com/movie/1c39f2c3-41e4-4593-bb41-b0701f09d610"
"Goat Girl","","series","yes","dub","Croatian","no","kids-family, comedy, european","https://play.hbomax.com/show/43ea1e69-88eb-47f3-abea-fac40add3d42"
"Gremlins: Secrets of the Mogwai","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/40451920-1f13-444c-90cd-02bb28a22532"
"Hero Inside","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/83120664-3120-4e05-9648-2e5cc09d3543"
"How To Train Your Dragon","","movie","yes","dub","Croatian","yes","family","https://play.hbomax.com/movie/6637b33a-14f2-46d8-b683-ca61676c5c39"
"How to Train Your Dragon 2","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family","https://play.hbomax.com/movie/8399e81a-a6ad-4331-9313-a36499b262b3"
"How to Train Your Dragon: The Hidden World","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family","https://play.hbomax.com/movie/8a158913-cf6c-41f9-b338-37a617819406"
"Interstellar Ella","","series","yes","dub","Croatian","no","fantasy-sci-fi, kids-family","https://play.hbomax.com/show/eeef40e0-bf4c-4b36-9ee8-b65e41d3acea"
"Jade Armor","","series","yes","dub","Croatian","no","action, european, kids-family","https://play.hbomax.com/show/c4c98f30-7aea-4d7b-8512-c36ec6217852"
"Jellystone!","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/c86fa040-2491-479c-9ab4-462afce6832f"
"Jessica's Big Little World","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/e8774d57-3463-461a-a600-2073bd1a199b"
"Krypto Saves the Day!","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/1467ca95-c78a-417b-b1f2-7a82e8f82716"
"Kung Fu Panda 4","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family, comedy","https://play.hbomax.com/movie/6e640555-1017-4e1e-8dc2-50ef75a8657a"
"Lana Longbeard","","series","yes","dub","Croatian","no","european, kids-family","https://play.hbomax.com/show/dd695f6f-46cb-4fe5-8aa2-d1b6d689a92d"
"LEGO DREAMZzz","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/8ef7497a-e05b-4400-b90a-0d4e96a6f52c"
"LEGO Ninjago: Dragons Rising","","series","yes","dub","Croatian","no","action, kids-family","https://play.hbomax.com/show/ea339d5e-4ae3-4a3b-8be9-e8c00a372623"
"Looney Tunes Cartoons","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/e90f1b95-4825-4f3d-bbe2-4cbc82dc7229"
"Lu & the Bally Bunch","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/691b1de1-f689-498f-80c9-65410ddf6736"
"Lu & The Bally Bunch Shorts","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/9c6b2969-91ed-4e03-b425-ed88fdb4c9f0"
"Lu & The Bally Bunch: Bug Nollig","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/fd079c80-95fb-40fc-aa75-abf0c5221b8e"
"Lucas the Spider","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/f9388968-c633-4692-821a-b8e2d0731a78"
"Master Moley By Royal Invitation","","movie","yes","dub","Croatian","no","family, european","https://play.hbomax.com/movie/c754405b-45ac-4f3e-950e-96bb30c8ae31"
"Meet the Batwheels","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/f5d3a1b4-3344-4039-9675-6bd79b6b6e53"
"Merry Madagascar","","movie","yes","dub","Croatian","yes","family, comedy","https://play.hbomax.com/movie/d1eec73d-b5a9-4a1c-84e2-a531e591990f"
"Migration","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family","https://play.hbomax.com/movie/21429a23-f8d8-4cdd-8d07-2d8dde7c6344"
"Moley","","series","yes","dub","Croatian","no","european, kids-family","https://play.hbomax.com/show/ff9b216b-e1fa-4704-a823-e277bc95f918"
"Mr Bean: The Animated Series","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/ecda2f00-4aa5-42ca-b9c7-6664dd7d38ea"
"Mr. Magoo","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/05483765-c99c-4bc0-a09c-00294595d51a"
"Mush-Mush and the Mushables","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/c389dc27-e0ea-4f9c-b2b2-e4993e919188"
"Ninjago","","series","yes","dub","Croatian","no","action, kids-family","https://play.hbomax.com/show/91f74d6e-cf51-4c6c-967d-31b194be0394"
"Paddington in Peru","","movie","yes","dub","Croatian; Serbian (Cyrillic)","yes","family, comedy","https://play.hbomax.com/movie/236ff768-845f-4f6b-a7c1-d50f64b63b1c"
"Penguins of Madagascar","","movie","yes","dub","Croatian; Serbian (Cyrillic)","yes","family, comedy","https://play.hbomax.com/movie/26f90935-a2c3-4deb-b858-0cf7ed69892a"
"Peppa Pig","","series","yes","dub","Croatian","no","european, kids-family","https://play.hbomax.com/show/b5228b0a-d96a-41bd-b52c-4056862b0991"
"Pocoyó","","series","yes","dub","Croatian","no","european, kids-family","https://play.hbomax.com/show/408be30a-8d73-4663-964b-edd023043e46"
"Regular Show: The Lost Tapes","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/a7dc956b-41da-4eef-b414-56acae63d895"
"Shrek the Halls","","movie","yes","dub","Croatian","yes","family, comedy","https://play.hbomax.com/movie/b14fc9f9-74a2-4583-8d47-0e1baba3a46d"
"Silly Sundays","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/1ea50fc1-4558-447d-9975-6d10b6340305"
"Spider-Man: Across the Spider-Verse","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family","https://play.hbomax.com/movie/08f3260f-1512-4c90-a3df-fc2e407ba708"
"Spider-Man: Into the Spider-Verse","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family","https://play.hbomax.com/movie/ab9d654a-7972-4fd9-9514-fb90280063c8"
"Steven Universe Future","","series","yes","dub","Croatian","no","fantasy-sci-fi, kids-family","https://play.hbomax.com/show/fa3d7be9-f0e6-4a47-95c5-ecac22158c00"
"Summer Camp Island","","series","yes","dub","Croatian","no","fantasy-sci-fi, kids-family","https://play.hbomax.com/show/b1d7ab42-65cf-4112-815b-a456ed61ab20"
"Teen Titans Go!","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/28cb33be-0a53-4604-a4eb-0562593798aa"
"The Amazing World of Gumball","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/18ad0649-f2dd-410d-8842-2ba2aa486fdb"
"The Amazing World of Gumball: Darwin's Yearbook","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/20334332-05e6-46db-b9e9-6433e2d97124"
"The Angry Birds Movie","","movie","yes","dub","Croatian; Serbian (Cyrillic)","yes","family","https://play.hbomax.com/movie/6a09ed95-b357-411a-bdc5-2fc3f0d81c5e"
"The Angry Birds Movie 2","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family","https://play.hbomax.com/movie/d41ecac1-041b-4746-9798-544e3c707956"
"The Ghost of Lord Farquaad","","movie","yes","dub","Croatian","yes","family, comedy","https://play.hbomax.com/movie/2937c6be-592e-46d4-a2af-b90cb291e9d5"
"The Heroic Quest of the Valiant Prince Ivandoe","","series","yes","dub","Croatian","no","comedy, european, kids-family","https://play.hbomax.com/show/daf8cdb6-202e-4065-9153-29b9d3fe5f21"
"The Powerpuff Girls","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/642fcd3e-49ae-457c-a512-8d8bef1d1cef"
"The Wonderfully Weird World of Gumball","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/27b214cf-dbe5-49c8-9a99-43d4dc5989dd"
"Thomas & Friends","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/9ab7825b-a28d-49b7-96a9-a5e66daec999"
"Thomas & Friends: Race For The Sodor Cup","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/9fa79bb0-a9f6-4498-8e8c-07ac57918d0b"
